Affymetrix ID,Gene,p.value.ASDvsControls ,FDR.ASDvsControls ,p.value.ASDvsControls.males,FDR.ASDvsControls.males,p.value.ASDvsControls.females,FDR.ASDvsControls.females,Two.way.ANOVA.p.Dx.,Two.way.ANOVA.p.Gender.,Two.way.ANOVA.p.Dx*Gender
8015827,SOST,1.33E-04,1.15E-02,4.27E-05,2.75E-02,3.57E-01,7.79E-01,5.21E-04,9.12E-01,2.79E-01
7894110,--,1.34E-04,1.15E-02,3.69E-04,2.75E-02,1.89E-01,7.34E-01,5.85E-04,4.49E-01,6.02E-01
8016980,MIR142,1.34E-04,1.15E-02,3.61E-03,3.13E-02,5.76E-02,6.79E-01,3.07E-04,1.01E-01,9.81E-01
7961483,HIST4H4,1.36E-04,1.15E-02,9.73E-04,3.00E-02,1.33E-01,7.16E-01,3.73E-04,2.75E-01,6.96E-01
8175835,BCAP31,1.36E-04,1.15E-02,1.14E-03,3.00E-02,1.14E-01,7.03E-01,5.74E-04,3.01E-01,6.41E-01
7913776,IL28RA,1.39E-04,1.16E-02,5.39E-05,2.75E-02,5.43E-01,8.19E-01,6.17E-04,7.75E-01,1.11E-01
8030366,SNORD35A,1.39E-04,1.16E-02,3.52E-02,4.60E-02,5.95E-04,5.79E-01,1.85E-04,3.52E-01,1.21E-01
8038919,ZNF350,1.41E-04,1.16E-02,1.11E-02,3.47E-02,1.06E-02,6.35E-01,3.94E-04,2.38E-01,2.98E-01
8115562,RNF145,1.41E-04,1.16E-02,1.39E-03,3.00E-02,8.00E-02,6.94E-01,7.69E-04,4.23E-01,8.06E-01
7940857,STIP1,1.44E-04,1.17E-02,2.78E-04,2.75E-02,1.98E-01,7.37E-01,3.89E-04,7.46E-01,5.02E-01
8005225,LOC162632,1.46E-04,1.17E-02,1.73E-03,3.06E-02,1.00E-01,7.01E-01,2.20E-04,2.50E-01,7.59E-01
8168875,ARMCX3,1.46E-04,1.17E-02,1.11E-03,3.00E-02,8.52E-02,6.94E-01,6.24E-04,4.65E-01,9.12E-01
7942592,SNORD15A,1.47E-04,1.17E-02,2.92E-02,4.32E-02,1.99E-03,6.06E-01,1.50E-04,9.47E-01,5.02E-02
8162472,BARX1,1.47E-04,1.17E-02,2.91E-04,2.75E-02,2.16E-01,7.43E-01,2.94E-04,3.88E-01,5.34E-01
7982663,BUB1B,1.47E-04,1.17E-02,6.03E-04,3.00E-02,2.08E-01,7.42E-01,4.30E-04,3.22E-01,4.11E-01
8094772,--,1.49E-04,1.18E-02,6.20E-03,3.17E-02,2.34E-02,6.45E-01,2.88E-04,2.33E-01,6.01E-01
8122684,SUMO4,1.51E-04,1.18E-02,7.53E-05,2.75E-02,3.31E-01,7.69E-01,5.13E-04,8.81E-01,2.67E-01
8096030,--,1.51E-04,1.18E-02,2.60E-04,2.75E-02,3.64E-01,7.82E-01,3.07E-04,2.67E-01,2.53E-01
8006715,TADA2A,1.53E-04,1.19E-02,1.15E-02,3.49E-02,6.57E-03,6.35E-01,2.56E-04,8.81E-01,1.50E-01
7980115,ABCD4,1.53E-04,1.19E-02,2.04E-02,3.89E-02,5.26E-03,6.33E-01,1.47E-04,1.64E-01,4.38E-01
