Affymetrix ID,Gene,p.value,FDR,p.value.AUTvsControl,FDR.AUTvsControl,p.value.PDDNOSvsControl,FDR.PDDNOSvsControl,p.value.ASPvsControl,FDR.ASPvsControl
8084128,TTC14,1.80E-04,7.49E-03,1.39E-04,4.42E-02,1.51E-02,3.75E-01,7.79E-01,1
7909529,RCOR3,1.81E-04,7.49E-03,4.38E-04,5.74E-02,6.52E-03,3.02E-01,7.20E-01,1
8097417,PHF17,1.82E-04,7.51E-03,4.12E-04,5.73E-02,1.74E-03,2.38E-01,9.92E-01,1
7926565,MLLT10,1.84E-04,7.51E-03,6.10E-04,6.55E-02,5.30E-03,2.94E-01,6.99E-01,1
7936614,EIF3A,1.85E-04,7.51E-03,1.74E-03,9.13E-02,5.38E-03,2.96E-01,3.46E-01,1
8072757,CSF2RB,1.88E-04,7.51E-03,7.05E-03,1.54E-01,7.09E-03,3.05E-01,3.24E-02,1
8159992,ERMP1,1.88E-04,7.51E-03,6.57E-04,6.62E-02,6.66E-03,3.02E-01,5.98E-01,1
8083183,U2SURP,1.88E-04,7.51E-03,1.16E-03,8.17E-02,7.18E-03,3.06E-01,3.84E-01,1
8070010,SYNJ1,1.90E-04,7.51E-03,1.40E-03,8.47E-02,6.99E-03,3.04E-01,3.49E-01,1
7969414,KLF5,1.90E-04,7.51E-03,1.93E-03,9.29E-02,8.51E-03,3.21E-01,2.08E-01,1
7987325,AQR,1.91E-04,7.51E-03,1.43E-03,8.47E-02,4.29E-03,2.73E-01,5.10E-01,1
8070046,GCFC1,1.91E-04,7.51E-03,1.07E-03,7.84E-02,3.65E-03,2.69E-01,6.78E-01,1
7989387,VPS13C,1.92E-04,7.52E-03,5.25E-04,6.24E-02,2.35E-02,4.43E-01,2.29E-01,1
8056113,LY75,1.94E-04,7.53E-03,9.86E-04,7.60E-02,1.20E-02,3.59E-01,2.83E-01,1
7975521,RBM25,1.96E-04,7.57E-03,7.60E-04,6.91E-02,1.45E-02,3.73E-01,3.09E-01,1
8108603,HARS2,1.98E-04,7.60E-03,1.71E-04,4.76E-02,4.44E-03,2.74E-01,9.93E-01,1
7900395,RLF,1.99E-04,7.60E-03,1.92E-03,9.28E-02,6.27E-03,3.01E-01,3.08E-01,1
8038427,TSKS,1.99E-04,7.60E-03,1.87E-03,9.21E-02,9.74E-03,3.40E-01,2.02E-01,1
8010354,GAA,2.05E-04,7.76E-03,6.24E-03,1.48E-01,2.78E-03,2.52E-01,1.86E-01,1
7933947,HERC4,2.08E-04,7.80E-03,7.67E-04,6.93E-02,8.61E-03,3.22E-01,5.53E-01,1
8094948,SLAIN2,2.08E-04,7.80E-03,1.82E-03,9.21E-02,5.25E-03,2.94E-01,4.18E-01,1
7908841,PPP1R12B,2.10E-04,7.80E-03,3.73E-02,3.43E-01,7.84E-04,2.23E-01,2.96E-02,1
8136662,MGAM,2.10E-04,7.80E-03,4.79E-03,1.32E-01,7.78E-03,3.15E-01,7.76E-02,1
8088745,FRMD4B,2.11E-04,7.80E-03,8.88E-03,1.74E-01,7.03E-03,3.04E-01,2.67E-02,1
8156199,DAPK1,2.12E-04,7.80E-03,1.67E-03,9.04E-02,2.39E-02,4.44E-01,7.18E-02,1
8002592,AP1G1,2.14E-04,7.80E-03,3.84E-03,1.22E-01,1.91E-03,2.38E-01,4.72E-01,1
8017599,PECAM1,2.14E-04,7.80E-03,5.53E-03,1.40E-01,3.19E-03,2.56E-01,2.13E-01,1
7942174,PPFIA1,2.17E-04,7.80E-03,2.30E-03,9.99E-02,3.86E-03,2.71E-01,4.57E-01,1
8106556,CMYA5,2.19E-04,7.80E-03,3.34E-03,1.14E-01,4.91E-03,2.89E-01,2.63E-01,1
8170027,DDX26B,2.19E-04,7.80E-03,2.08E-04,5.31E-02,9.72E-03,3.40E-01,9.06E-01,1
7993478,ABCC1,2.20E-04,7.80E-03,1.56E-04,4.52E-02,4.50E-03,2.75E-01,9.99E-01,1
8078479,PDCD6IP,2.20E-04,7.80E-03,2.16E-03,9.77E-02,7.65E-03,3.13E-01,2.70E-01,1
8011884,NLRP1,2.20E-04,7.80E-03,2.18E-03,9.77E-02,6.40E-03,3.01E-01,3.27E-01,1
8049906,ING5,2.22E-04,7.83E-03,2.31E-04,5.31E-02,1.14E-02,3.53E-01,8.30E-01,1
