Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,C0,C1,C3
PSRC1,0.214032553,6.530116659,68.7242784,1.13E-16,0.003083655,0.003754221,2396,1657,2427,1785,2500,2261,1918
STRN3,-0.176052814,7.019306698,68.64930458,1.18E-16,0.002904673,0.002392401,4308,3131,2829,2441,3778,2719,2112
JPH2,0.366522333,4.815097709,68.3038847,1.40E-16,0.003851481,0.003924799,1003,513,455,365,1175,761,443
CDC42EP1,0.154049228,7.384526874,68.18533586,1.49E-16,0.002682424,0.002868203,4648,3799,3299,2965,4624,4757,3155
ZFYVE16,-0.138193448,7.701462615,67.87375024,1.74E-16,0.00244576,0.003211821,6217,5474,4368,3944,5901,4387,3719
BOK,0.245125629,6.026025755,67.6940975,1.91E-16,0.003167806,0.007073512,2249,1066,1379,1030,2192,1715,1153
GALNT7,-0.171976963,7.085097282,67.43222892,2.18E-16,0.002869562,0.002910997,4441,2963,3178,2756,3961,2384,2526
CDCA4,0.187709178,6.83910846,67.03253709,2.67E-16,0.00298793,0.002710447,2829,2101,2549,2540,3116,2588,2691
EIF3D,0.13286345,7.813856486,66.76177938,3.06E-16,0.002354994,0.001948789,6019,4678,4943,4443,6332,5087,4953
PRKCI,-0.164974811,7.165869425,66.60912115,3.31E-16,0.002823299,0.002896391,4180,3960,2998,2721,3845,3245,2471
SNX8,0.227097889,6.254262011,66.54865158,3.41E-16,0.003133819,0.003903987,2150,1388,1627,1462,2179,1915,1675
KIF22,0.145877609,7.583124474,66.51519201,3.47E-16,0.002537868,0.002378653,4668,3907,4834,3872,4854,4689,4059
FAM189A1,0.273855153,5.667124095,66.46354567,3.56E-16,0.003243292,0.006262636,1709,655,951,1022,1835,1066,1116
COL26A1,0.130274848,7.831205279,66.37013205,3.74E-16,0.00234074,0.004344459,6996,4463,4721,4218,6676,6064,4166
OGT,-0.107939263,8.373083382,66.35454041,3.77E-16,0.001877106,0.001604101,10021,8715,6775,6049,9057,7982,5650
