Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
ALDH1A2,8,0.63,1,57,0.7,6,NA,NA,0,NA,NA,0
ALDH1B1,62,0.69,7,54,0.7,5,NA,NA,0,5,0.8,1
ALDH2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ALDH3A2,45,0.67,5,42,0.76,4,NA,NA,0,NA,NA,0
ALDH4A1,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
ALDH5A1,96,0.75,12,49,0.69,4,5,1,1,NA,NA,0
ALDH7A1,NA,NA,0,18,0.83,3,NA,NA,0,NA,NA,0
ALDH8A1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ALDH9A1,NA,NA,0,10,0.5,2,6,1.33,1,21,1.1,2
ALDOA,56,0.71,5,129,0.64,9,NA,NA,0,59,0.95,3
ALG10,91,0.97,6,NA,NA,0,9,0.89,1,13,1,1
ALG10B,116,0.84,11,37,0.86,2,NA,NA,0,NA,NA,0
ALG11,181,0.87,13,9,0.89,1,NA,NA,0,54,1.09,5
ALG12,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
ALG13,18,0.67,2,6,0.33,1,NA,NA,0,NA,NA,0
ALG2,5,0.8,1,5,1,1,NA,NA,0,NA,NA,0
ALG3,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ALG5,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
ALG6,NA,NA,0,10,1,2,NA,NA,0,NA,NA,0
ALG8,NA,NA,0,5,1.2,1,NA,NA,0,NA,NA,0
ALG9,6,0.67,1,5,1,1,NA,NA,0,NA,NA,0
ALKBH1,6,0.33,1,NA,NA,0,NA,NA,0,NA,NA,0
ALKBH2,14,0.79,2,9,0.78,1,NA,NA,0,NA,NA,0
ALKBH3,NA,NA,0,NA,NA,0,NA,NA,0,5,1,1
ALKBH4,NA,NA,0,10,1,2,NA,NA,0,NA,NA,0
ALKBH5,79,0.72,4,125,0.72,13,NA,NA,0,34,1.15,3
ALKBH6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ALKBH7,NA,NA,0,6,0.5,1,NA,NA,0,NA,NA,0
ALKBH8,79,0.75,9,14,0.5,2,NA,NA,0,NA,NA,0
ALMS1,1272,0.76,108,462,0.83,40,98,1.05,18,187,1.03,21
ALOX5,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
ALPK2,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
ALPL,6,1,1,NA,NA,0,NA,NA,0,NA,NA,0
ALS2,28,0.54,5,39,0.85,5,NA,NA,0,6,1.17,1
ALS2CR11,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
ALX1,6,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
AMACR,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AMBRA1,19,0.84,3,94,0.78,9,NA,NA,0,46,0.87,6
AMD1,1184,0.95,38,239,0.77,18,90,1.06,12,410,1.1,14
AMDHD2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AMFR,128,0.78,13,94,0.8,10,NA,NA,0,109,0.96,8
AMH,NA,NA,0,5,0.6,1,NA,NA,0,29,0.79,4
AMIGO2,5,1.4,1,7,0.43,1,NA,NA,0,NA,NA,0
AMIGO3,13,1.08,2,5,1,1,NA,NA,0,24,1.13,2
AMMECR1,26,0.62,4,NA,NA,0,11,1.09,2,9,1.44,1
AMMECR1L,219,0.68,23,20,1.1,4,11,1.09,3,24,1.08,2
AMOT,6,0.83,1,796,0.84,49,NA,NA,0,45,1.07,7
AMOTL1,1797,0.83,82,1182,0.81,74,13,0.92,3,229,0.95,22
AMOTL2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AMPD2,25,0.76,4,63,0.68,9,NA,NA,0,NA,NA,0
AMZ2,73,0.82,7,20,0.8,2,NA,NA,0,NA,NA,0
ANAPC1,69,0.74,9,7,1,1,5,1,2,23,1.17,2
ANAPC10,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ANAPC11,NA,NA,0,15,0.6,2,NA,NA,0,NA,NA,0
ANAPC13,NA,NA,0,17,0.88,3,NA,NA,0,NA,NA,0
ANAPC16,5,0.8,1,12,0.58,2,NA,NA,0,6,1.33,1
ANAPC2,NA,NA,0,33,0.73,5,NA,NA,0,NA,NA,0
ANAPC4,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
ANAPC5,113,0.66,14,98,0.79,10,NA,NA,0,40,0.88,6
ANAPC7,48,0.85,7,23,0.7,4,5,0.6,1,NA,NA,0
ANGEL1,30,0.87,4,50,0.84,7,NA,NA,0,5,0.6,1
ANGEL2,463,0.83,32,108,0.87,11,21,1,6,135,1.03,12
ANGPT1,NA,NA,0,8,1.5,1,NA,NA,0,NA,NA,0
ANGPT2,NA,NA,0,22,1.86,1,NA,NA,0,NA,NA,0
ANK1,NA,NA,0,22,1.36,3,NA,NA,0,NA,NA,0
ANK2,18,1.5,2,41,0.76,7,6,1,1,6,2,1
ANK3,15,0.67,2,19,0.89,3,NA,NA,0,NA,NA,0
ANKAR,30,0.9,3,12,0.92,2,NA,NA,0,32,1.09,3
ANKFN1,NA,NA,0,27,2,1,19,2,2,NA,NA,0
ANKFY1,83,0.83,10,123,0.81,16,NA,NA,0,97,1.02,7
ANKH,109,0.72,13,110,0.75,13,NA,NA,0,12,1.25,2
ANKHD1,1289,0.84,68,1135,0.83,65,28,0.86,3,484,0.98,36
ANKHD1-EIF4EBP3,120,0.86,5,63,0.73,6,NA,NA,0,13,1.15,2
ANKIB1,110,0.78,11,75,0.76,9,NA,NA,0,NA,NA,0
ANKLE2,NA,NA,0,NA,NA,0,6,0.83,1,395,0.92,33
ANKMY1,NA,NA,0,79,1.03,1,6,1,2,NA,NA,0
ANKRA2,13,0.38,2,NA,NA,0,NA,NA,0,NA,NA,0
ANKRD10,331,0.86,24,183,0.8,18,11,0.82,2,227,0.97,20
ANKRD11,2361,0.83,81,2856,0.86,88,65,1,6,276,0.91,22
ANKRD12,166,0.77,15,12,0.92,2,7,1,1,24,1.08,3
ANKRD13A,5,0.2,1,NA,NA,0,NA,NA,0,5,1,1
ANKRD13B,14,0.57,2,38,0.97,4,NA,NA,0,NA,NA,0
ANKRD13C,357,0.85,25,31,0.84,4,26,1.08,2,131,1.05,11
ANKRD16,NA,NA,0,6,1.17,1,NA,NA,0,NA,NA,0
ANKRD17,399,0.79,38,705,0.84,46,10,1.1,2,109,0.9,13
ANKRD18A,50,0.54,8,54,0.83,7,NA,NA,0,6,1,1
ANKRD18B,47,0.81,7,12,1,1,NA,NA,0,NA,NA,0
ANKRD23,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANKRD26,NA,NA,0,87,1.99,1,NA,NA,0,5,1.2,1
ANKRD26P1,NA,NA,0,11,1,1,NA,NA,0,NA,NA,0
ANKRD27,140,0.76,14,208,0.81,19,NA,NA,0,5,0.8,1
ANKRD28,91,0.69,13,61,0.77,7,NA,NA,0,11,0.82,2
ANKRD32,259,0.68,27,79,0.94,7,5,0.6,1,30,1,4
ANKRD33B,NA,NA,0,12,1.17,2,NA,NA,0,NA,NA,0
ANKRD34A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANKRD39,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANKRD40,401,0.8,29,100,0.68,12,5,0.8,1,51,1.06,4
ANKRD42,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANKRD43,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANKRD44,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
ANKRD46,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANKRD49,NA,NA,0,5,1,1,NA,NA,0,10,0.8,2
ANKRD5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANKRD50,1237,0.83,83,192,0.77,15,37,1.14,7,129,0.99,11
ANKRD52,286,0.72,29,611,0.84,38,NA,NA,0,74,1.01,5
ANKRD54,9,0.78,1,6,0.83,1,NA,NA,0,12,1.17,1
ANKRD56,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANKRD57,245,0.79,21,39,0.82,5,7,1.14,2,5,0.4,1
ANKRD6,103,0.7,14,24,0.92,4,NA,NA,0,NA,NA,0
ANKRD9,NA,NA,0,16,0.56,3,NA,NA,0,5,1,1
ANKS1A,134,0.8,17,226,0.76,22,NA,NA,0,18,0.89,3
ANKS1B,5,1,1,23,1.26,2,NA,NA,0,NA,NA,0
ANKS3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANKS6,18,0.5,3,46,0.67,8,NA,NA,0,NA,NA,0
ANKZF1,NA,NA,0,16,0.69,3,NA,NA,0,NA,NA,0
ANLN,81,0.94,7,27,0.85,3,43,1.07,7,96,1.13,6
ANO4,8,1.63,1,NA,NA,0,NA,NA,0,NA,NA,0
ANO5,47,0.66,5,7,0.71,1,NA,NA,0,5,0.6,1
ANO6,37,0.59,6,55,1.35,6,NA,NA,0,NA,NA,0
ANO7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ANO8,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
ANP32A,158,0.73,13,51,0.55,6,NA,NA,0,14,0.79,2
ANP32B,81,0.85,7,21,0.81,2,NA,NA,0,18,0.61,2
ANP32E,145,0.77,16,15,0.67,2,15,0.87,3,68,1.16,6
ANUBL1,18,0.72,3,14,0.93,1,NA,NA,0,5,1,1
ANXA11,17,0.53,3,31,0.58,4,NA,NA,0,NA,NA,0
ANXA2,6,0.33,1,NA,NA,0,NA,NA,0,NA,NA,0
ANXA5,9,0.33,1,7,0.57,1,NA,NA,0,5,1,1
ANXA6,6,0.17,1,24,1,4,NA,NA,0,NA,NA,0
ANXA7,13,1.08,2,20,0.65,2,NA,NA,0,NA,NA,0
AOC2,25,0.64,4,15,1,3,NA,NA,0,NA,NA,0
AP001468.1,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
AP001496.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AP1AR,59,0.66,6,9,0.56,1,5,1,1,44,1.18,5
AP1B1,116,0.77,12,180,0.77,18,NA,NA,0,64,0.75,8
AP1G1,974,0.83,63,487,0.79,32,32,0.88,6,198,1.02,15
AP1G2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AP1M1,24,0.58,4,31,0.81,3,NA,NA,0,28,1.04,3
AP1M2,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
AP1S1,NA,NA,0,21,0.67,3,NA,NA,0,NA,NA,0
AP1S2,5,0.6,1,NA,NA,0,NA,NA,0,NA,NA,0
AP1S3,NA,NA,0,7,0.71,1,NA,NA,0,NA,NA,0
AP2A1,51,0.73,7,145,0.75,17,NA,NA,0,38,1.03,4
AP2A2,20,0.65,3,37,0.86,5,NA,NA,0,25,1.16,4
AP2B1,315,0.71,30,174,0.78,17,5,0.8,1,90,0.9,9
AP2M1,18,0.78,3,36,0.64,5,6,1,1,5,1,1
AP2S1,8,1,1,23,0.78,4,NA,NA,0,NA,NA,0
AP3B1,41,0.78,5,28,0.71,3,NA,NA,0,31,1,4
AP3D1,587,0.82,37,1056,0.87,55,NA,NA,0,188,0.89,19
AP3M1,108,0.69,11,33,0.73,5,NA,NA,0,28,1.07,4
AP3M2,167,0.8,14,29,0.66,4,NA,NA,0,18,1.11,2
AP3S1,11,0.64,2,NA,NA,0,NA,NA,0,NA,NA,0
AP3S2,NA,NA,0,NA,NA,0,NA,NA,0,5,0.8,1
AP4B1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AP4E1,58,0.66,9,7,0.43,1,NA,NA,0,5,1,1
AP4M1,NA,NA,0,8,1,1,NA,NA,0,NA,NA,0
APAF1,265,0.78,29,162,0.8,12,NA,NA,0,12,1.17,2
APBA2,14,0.93,2,75,0.71,9,NA,NA,0,5,0.8,1
APBA3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
APBB1,NA,NA,0,38,0.84,4,NA,NA,0,NA,NA,0
APBB2,179,0.75,21,107,0.78,13,NA,NA,0,17,0.88,2
APC,1803,0.85,104,359,0.81,37,126,0.82,19,244,0.98,19
APC2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
APEH,NA,NA,0,17,0.82,2,NA,NA,0,NA,NA,0
APEX1,27,0.89,2,37,0.7,3,NA,NA,0,6,0.83,1
APEX2,NA,NA,0,8,0.88,1,NA,NA,0,NA,NA,0
APH1A,15,0.67,2,151,0.8,11,NA,NA,0,5,1.2,1
APH1B,48,0.6,6,15,1,2,NA,NA,0,NA,NA,0
API5,349,0.82,24,72,0.88,8,7,1.29,2,95,1,8
APIP,NA,NA,0,6,0.67,1,NA,NA,0,NA,NA,0
APITD1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
APLP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
APLP2,195,0.77,22,46,0.93,6,NA,NA,0,73,0.92,7
APOA1BP,5,0.2,1,24,0.83,3,NA,NA,0,NA,NA,0
APOBEC3B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
APOBEC3D,NA,NA,0,23,1,1,NA,NA,0,NA,NA,0
APOBEC3G,5,0.4,1,NA,NA,0,NA,NA,0,NA,NA,0
APOE,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
APOL2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
APOLD1,119,0.72,14,24,0.46,3,NA,NA,0,21,1.05,2
APP,108,0.62,12,113,0.34,6,NA,NA,0,12,0.92,2
APPBP2,102,0.81,12,5,1,1,37,1.08,8,85,1.14,7
APPL1,394,0.75,37,126,0.78,13,NA,NA,0,58,0.98,8
APPL2,NA,NA,0,11,0.82,2,NA,NA,0,5,0.8,1
APRT,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
APTX,51,0.75,4,27,0.67,4,NA,NA,0,10,1,1
AQP5,NA,NA,0,NA,NA,0,NA,NA,0,6,1,1
AQR,214,0.79,23,68,0.76,7,16,1.25,2,64,0.78,8
ARAF,5,1,1,21,0.76,2,NA,NA,0,NA,NA,0
ARAP1,15,0.87,2,216,0.75,22,NA,NA,0,NA,NA,0
ARAP2,56,0.68,8,69,0.13,3,6,1,1,NA,NA,0
ARAP3,7,1,1,20,0.9,2,NA,NA,0,8,1,1
ARC,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARCN1,270,0.78,18,86,0.85,8,NA,NA,0,43,0.86,5
ARF1,83,0.64,10,215,0.85,21,NA,NA,0,33,0.82,5
ARF3,5,0.2,1,37,0.78,4,NA,NA,0,12,0.92,1
ARF4,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
ARF5,NA,NA,0,28,0.82,3,NA,NA,0,NA,NA,0
ARF6,61,0.64,7,76,0.71,7,NA,NA,0,NA,NA,0
ARFGAP1,NA,NA,0,59,1,7,NA,NA,0,NA,NA,0
ARFGAP2,NA,NA,0,10,1,2,NA,NA,0,NA,NA,0
ARFGAP3,64,0.66,9,16,0.63,2,NA,NA,0,NA,NA,0
ARFGEF1,77,0.74,12,38,0.82,5,NA,NA,0,6,1.33,1
ARFGEF2,382,0.77,38,223,0.81,26,NA,NA,0,50,1.02,6
ARFIP1,16,0.63,2,NA,NA,0,NA,NA,0,5,0.4,1
ARFIP2,5,0.2,1,18,0.94,3,NA,NA,0,5,1.2,1
ARFRP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARG2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARGLU1,39,0.74,6,NA,NA,0,NA,NA,0,7,0.86,1
ARHGAP1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ARHGAP10,NA,NA,0,10,0.6,2,NA,NA,0,NA,NA,0
ARHGAP11A,687,0.83,46,128,0.79,13,46,0.8,8,116,0.96,11
ARHGAP12,49,0.76,7,20,0.65,2,NA,NA,0,13,1,2
ARHGAP17,23,0.78,2,118,0.81,11,6,1,1,13,1.08,2
ARHGAP18,6,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
ARHGAP19,438,0.81,35,169,0.84,16,5,1.4,2,103,0.97,11
ARHGAP20,34,0.5,6,30,0.67,4,NA,NA,0,NA,NA,0
ARHGAP21,185,0.77,18,113,0.92,12,7,1.14,1,20,1.1,2
ARHGAP22,11,0.73,2,63,0.78,8,NA,NA,0,NA,NA,0
ARHGAP23,5,0.8,1,6,1,1,NA,NA,0,NA,NA,0
ARHGAP26,NA,NA,0,14,1,2,NA,NA,0,NA,NA,0
ARHGAP27,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
ARHGAP28,12,0.83,2,NA,NA,0,NA,NA,0,NA,NA,0
ARHGAP29,228,0.78,24,61,0.85,7,5,0.8,2,20,0.95,3
ARHGAP31,5,0.8,1,10,0.8,2,NA,NA,0,7,1,1
ARHGAP32,35,0.74,6,42,0.93,6,NA,NA,0,NA,NA,0
ARHGAP33,NA,NA,0,28,0.5,4,NA,NA,0,5,0.2,1
ARHGAP35,1985,0.85,83,1562,0.82,84,32,1.03,5,243,0.93,24
ARHGAP39,NA,NA,0,60,0.47,5,22,1,1,NA,NA,0
ARHGAP4,5,0.6,1,NA,NA,0,NA,NA,0,NA,NA,0
ARHGAP42,NA,NA,0,5,1,1,NA,NA,0,5,1,1
ARHGAP44,34,0.82,5,29,0.72,5,NA,NA,0,NA,NA,0
ARHGAP5,1528,0.88,73,247,0.87,23,119,1.04,19,378,1.02,33
ARHGAP8,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
ARHGDIA,21,0.57,3,115,0.54,11,NA,NA,0,26,1.04,1
ARHGEF1,NA,NA,0,55,0.82,7,NA,NA,0,6,0.5,1
ARHGEF10,NA,NA,0,29,0.93,4,NA,NA,0,NA,NA,0
ARHGEF10L,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARHGEF11,45,0.87,7,193,0.83,18,NA,NA,0,5,1,1
ARHGEF12,853,0.83,56,505,0.78,38,11,1,1,87,0.91,11
ARHGEF16,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARHGEF17,NA,NA,0,35,0.83,6,NA,NA,0,NA,NA,0
ARHGEF18,59,0.63,7,87,0.78,9,NA,NA,0,114,0.76,13
ARHGEF2,308,0.81,22,335,0.81,29,14,1.14,2,91,1.02,7
ARHGEF25,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARHGEF26,105,0.8,12,103,0.92,8,NA,NA,0,NA,NA,0
ARHGEF3,NA,NA,0,50,0.54,2,NA,NA,0,NA,NA,0
ARHGEF35,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARHGEF37,NA,NA,0,12,1,2,NA,NA,0,NA,NA,0
ARHGEF4,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
ARHGEF40,NA,NA,0,19,0.58,2,NA,NA,0,NA,NA,0
ARHGEF5,NA,NA,0,22,0.45,3,NA,NA,0,5,1,1
ARHGEF6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARHGEF7,160,0.74,19,127,0.63,16,NA,NA,0,100,1.04,9
ARID1A,1185,0.83,66,1510,0.86,71,18,1,2,272,0.79,24
ARID1B,145,1,13,581,1.3,35,70,1.93,1,17,1,2
ARID2,134,0.7,18,80,0.89,10,6,0.83,2,81,1.02,10
ARID3A,7,1,1,14,0.64,2,NA,NA,0,21,1,3
ARID3B,NA,NA,0,12,0.58,2,NA,NA,0,NA,NA,0
ARID3C,NA,NA,0,26,0.81,1,NA,NA,0,NA,NA,0
ARID4A,NA,NA,0,9,1,1,NA,NA,0,NA,NA,0
ARID4B,284,0.85,29,63,0.86,9,49,1,7,129,0.96,12
ARID5A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARID5B,273,0.79,30,84,0.9,10,11,1,3,86,1.05,10
ARIH1,210,0.74,23,106,0.78,11,NA,NA,0,5,1.2,1
ARIH2,285,0.8,30,144,0.79,18,NA,NA,0,33,1.12,4
ARL1,5,0.8,1,NA,NA,0,NA,NA,0,NA,NA,0
ARL10,123,0.7,15,10,0.5,2,NA,NA,0,NA,NA,0
ARL13B,40,0.75,3,8,0.88,1,NA,NA,0,9,1,1
ARL15,NA,NA,0,85,0.09,3,136,0.01,1,NA,NA,0
ARL17A,NA,NA,0,8,0.88,1,NA,NA,0,NA,NA,0
ARL2,NA,NA,0,19,0.37,2,NA,NA,0,NA,NA,0
ARL2BP,NA,NA,0,26,0.77,4,NA,NA,0,8,0.88,1
ARL3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARL4C,6,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
ARL4D,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARL5A,269,0.76,27,42,0.71,5,28,1.25,6,81,0.98,12
ARL5B,2239,0.89,73,91,0.79,12,189,0.98,23,100,0.9,10
ARL6IP1,13,0.62,2,44,0.8,6,NA,NA,0,5,1.2,1
ARL6IP4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARL6IP5,25,1.16,2,NA,NA,0,NA,NA,0,NA,NA,0
ARL6IP6,76,0.72,7,8,0.25,1,5,1,2,98,1.04,8
ARL8A,NA,NA,0,7,0.71,1,NA,NA,0,NA,NA,0
ARL8B,324,0.86,23,35,0.69,5,20,1.1,2,42,0.98,6
ARMC1,225,0.81,20,13,0.85,1,25,0.68,3,44,1.11,4
ARMC10,30,0.7,3,32,0.75,3,NA,NA,0,NA,NA,0
ARMC4,5,1,1,5,1,1,NA,NA,0,NA,NA,0
ARMC5,NA,NA,0,45,0.69,4,NA,NA,0,6,1.5,1
ARMC6,NA,NA,0,20,0.95,3,NA,NA,0,NA,NA,0
ARMC7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARMC8,66,0.53,9,8,0.63,1,NA,NA,0,6,0.83,1
ARMC9,NA,NA,0,23,1,3,NA,NA,0,NA,NA,0
ARMCX2,50,0.82,6,54,0.72,5,NA,NA,0,30,1.03,3
ARMCX3,63,0.78,7,17,0.88,1,NA,NA,0,29,0.86,4
ARMCX4,NA,NA,0,6,0.5,1,NA,NA,0,NA,NA,0
ARMCX5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARMCX6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARNT,105,0.74,11,87,0.74,8,NA,NA,0,22,1,2
ARNT2,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
ARNTL,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARNTL2,111,0.79,12,6,0.33,1,NA,NA,0,NA,NA,0
ARPC1A,111,0.78,12,23,0.74,4,NA,NA,0,14,1.21,2
ARPC1B,NA,NA,0,13,1.08,1,NA,NA,0,5,0.8,1
ARPC2,6,0.17,1,34,0.62,3,NA,NA,0,NA,NA,0
ARPC4,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
ARPC5,15,0.87,2,28,0.96,2,NA,NA,0,82,1.13,1
ARPC5L,39,0.69,6,7,0.57,1,NA,NA,0,6,1,1
ARPP19,883,0.83,45,126,0.7,13,37,1.16,3,46,1.02,5
ARRB1,6,1,1,5,0.4,1,NA,NA,0,NA,NA,0
ARRB2,15,0.8,2,20,0.55,4,NA,NA,0,18,1.11,3
ARRDC1,NA,NA,0,15,1.27,3,NA,NA,0,NA,NA,0
ARRDC2,NA,NA,0,5,1,1,NA,NA,0,8,1,1
ARRDC3,15,0.93,2,5,1,1,8,1.25,2,17,1,2
ARRDC4,600,0.84,45,74,0.73,9,NA,NA,0,34,1.21,4
ARSB,5,1,1,15,0.8,2,NA,NA,0,NA,NA,0
ARSJ,29,0.69,5,7,1.14,1,NA,NA,0,8,1.13,1
ARSK,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ARV1,NA,NA,0,12,0.67,2,NA,NA,0,NA,NA,0
ARVCF,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AS3MT,NA,NA,0,8,0.63,1,NA,NA,0,NA,NA,0
ASAH1,6,0.67,1,5,0.8,1,NA,NA,0,NA,NA,0
ASAH2B,NA,NA,0,8,0.5,1,NA,NA,0,NA,NA,0
ASAP1,31,0.84,4,9,1,1,NA,NA,0,NA,NA,0
ASAP2,11,0.64,2,6,1,1,NA,NA,0,NA,NA,0
ASAP3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ASB1,731,0.81,53,1015,0.82,54,NA,NA,0,44,1.05,6
ASB11,5,1,1,NA,NA,0,NA,NA,0,NA,NA,0
ASB13,18,1.17,2,13,0.85,2,NA,NA,0,6,0.83,1
ASB3,25,0.88,4,5,1,1,NA,NA,0,33,1.06,3
ASB6,54,0.48,9,84,0.81,12,NA,NA,0,10,0.8,1
ASB7,229,0.81,23,12,0.67,2,NA,NA,0,28,0.68,5
ASB8,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
ASCC1,5,0.4,1,6,2,1,NA,NA,0,11,0.91,2
ASCC2,22,0.64,3,16,0.44,2,NA,NA,0,6,1,1
ASCC3,1212,0.83,73,463,0.85,30,47,1.04,8,233,0.92,20
ASF1A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ASF1B,12,1,2,46,0.76,6,NA,NA,0,13,1,2
ASH1L,1796,0.88,100,885,0.87,52,131,1.12,13,404,1.04,33
ASH2L,11,0.73,2,32,1.09,4,NA,NA,0,30,0.83,3
ASL,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ASNA1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ASNS,455,0.82,22,99,0.78,9,33,0.67,3,31,0.94,3
ASNSD1,757,0.84,31,130,0.79,14,40,0.95,6,52,1.17,6
ASPH,NA,NA,0,5,0.4,1,5,0.4,2,NA,NA,0
ASPHD1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ASPM,1119,0.8,86,224,0.84,21,77,1.06,10,481,0.96,37
ASPSCR1,NA,NA,0,26,0.77,3,NA,NA,0,11,1,2
ASRGL1,5,1,1,6,0.83,1,NA,NA,0,5,0.8,1
ASS1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ASTE1,38,0.66,5,9,0.56,1,8,1.13,2,24,1,2
ASTN1,NA,NA,0,NA,NA,0,5,0.2,1,NA,NA,0
ASTN2,NA,NA,0,16,0.38,2,NA,NA,0,NA,NA,0
ASXL1,921,0.85,54,647,0.83,50,28,1.04,5,223,0.95,18
ASXL2,383,0.79,34,218,0.84,19,16,0.88,2,22,1.09,1
ASXL3,40,0.75,6,37,0.84,4,NA,NA,0,NA,NA,0
ATAD1,28,0.86,3,30,1,4,NA,NA,0,9,0.89,1
ATAD2,344,0.76,33,90,0.66,12,19,1,3,195,1.03,20
ATAD2B,15,0.8,2,6,0.83,1,NA,NA,0,9,1.11,1
ATAD3A,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
ATAD3B,8,0.88,1,14,1,2,NA,NA,0,NA,NA,0
ATAD5,97,0.81,10,37,1.05,6,20,0.9,5,107,0.94,8
ATAT1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ATE1,230,0.83,20,38,0.84,4,NA,NA,0,20,1.15,3
ATF1,66,0.97,6,7,0.57,1,NA,NA,0,41,1.2,6
ATF2,20,0.65,3,21,0.9,3,NA,NA,0,NA,NA,0
