Gene symbol,mean(ASD) - mean(CTRL),p-value,q-value,Neurogenesis,SFARI
CCR6,0.401405116,0.000561477,0.012263462,FALSE,FALSE
CCRN4L,0.42628475,0.001205711,0.017805063,FALSE,FALSE
CD19,0.354419978,0.007244867,0.0443882,FALSE,FALSE
CD22,0.390450594,0.003058214,0.028553464,FALSE,FALSE
CD24,-0.457737198,0.000513202,0.011664469,FALSE,FALSE
CD2AP,-0.515378217,8.57E-05,0.005316132,FALSE,FALSE
CD2BP2,-0.44228034,0.000784494,0.014654738,FALSE,FALSE
CD47,0.330822105,0.005726659,0.039406961,FALSE,FALSE
CD68,0.437375352,0.000232981,0.008342016,FALSE,FALSE
CD82,-0.365287655,0.004805912,0.036118774,FALSE,FALSE
CD86,-0.312838447,0.007439297,0.045045126,FALSE,FALSE
CD9,-0.350225039,0.008089608,0.047049993,FALSE,FALSE
CDC14B,0.382612088,0.0003862,0.010644869,FALSE,FALSE
CDC26,-0.435324317,0.00094689,0.016064181,FALSE,FALSE
CDC2L5,0.397558092,0.001379771,0.019111657,FALSE,FALSE
CDC42EP2,-0.355585674,0.007121858,0.043904958,FALSE,FALSE
CDC42EP4,-0.559960729,1.98E-05,0.002460676,FALSE,FALSE
CDCA5,-0.350239254,0.007903954,0.046616633,FALSE,FALSE
CDCA8,-0.347439395,0.008513804,0.048409421,FALSE,FALSE
CDK5RAP3,0.568552868,7.12E-06,0.001540776,FALSE,FALSE
CDK9,0.400050595,0.002404386,0.025870319,FALSE,FALSE
CDKL4,0.363914428,0.005838078,0.039697997,FALSE,FALSE
CDKN2A,0.299779676,0.006067571,0.040494801,FALSE,FALSE
CDKN3,-0.363466939,0.005820503,0.039697997,FALSE,FALSE
CDR2,-0.428945117,0.001146751,0.017476852,FALSE,FALSE
CDX2,-0.402887834,0.002259296,0.025175619,FALSE,FALSE
CENPA,-0.38670373,0.002950424,0.028083295,FALSE,FALSE
CENPM,-0.389959339,0.00030639,0.00952469,FALSE,FALSE
CENTB1,0.382238067,0.003726607,0.031513589,FALSE,FALSE
CENTG1,-0.365297253,0.005675529,0.039182819,FALSE,FALSE
CEP27,0.522790661,6.87E-05,0.004802939,FALSE,FALSE
CES2,0.336064454,0.006173806,0.040721632,FALSE,FALSE
CETN2,-0.471642129,0.000343261,0.009989758,FALSE,FALSE
CFL1,-0.374070698,0.004581859,0.035159345,FALSE,FALSE
CHAC1,0.362816017,0.006065435,0.040494801,FALSE,FALSE
CHAT,0.291841456,0.005217479,0.0377846,FALSE,FALSE
CHCHD1,-0.446514522,0.000687974,0.013638029,FALSE,FALSE
CHCHD3,-0.387071976,0.003285984,0.029692031,FALSE,FALSE
CHKA,0.37422942,0.003799105,0.031659129,FALSE,FALSE
CHODL,-0.372634453,0.004759147,0.035893743,FALSE,FALSE
CHP,-0.374401203,0.004534463,0.034943072,FALSE,FALSE
CHRNA5,0.405273704,0.002098773,0.024059627,FALSE,FALSE
CHRNB1,-0.413268563,0.001755846,0.021943136,FALSE,FALSE
CHRNB3,0.365586628,0.005635408,0.039051173,FALSE,FALSE
CHST10,0.46463262,0.000411098,0.010910124,FALSE,FALSE
CIAO1,0.511890115,9.73E-05,0.005590696,FALSE,FALSE
CIB3,-0.366085548,0.005569045,0.038873421,FALSE,FALSE
CIC,0.402340801,0.002292584,0.025314551,FALSE,FALSE
CICK0721Q.1,0.4761397,0.000296231,0.009317383,FALSE,FALSE
CIRBP,-0.493811387,0.00017345,0.007097846,FALSE,FALSE
CKS1B,-0.391294985,0.002948499,0.028083295,FALSE,FALSE
CKS2,-0.346467466,0.008653976,0.04881267,FALSE,FALSE
CLCN3,-0.301659404,0.005995077,0.040247679,FALSE,FALSE
CLDN15,0.423305452,0.000253484,0.00864099,FALSE,FALSE
CLEC4E,-0.34682791,0.008658631,0.048813761,FALSE,FALSE
CLEC4M,0.346472174,0.008769259,0.04925383,FALSE,FALSE
CLIC1,-0.678171011,2.02E-07,0.000303307,FALSE,FALSE
CLK2,0.371624696,0.003630097,0.031254077,FALSE,FALSE
CLNS1A,-0.419951862,0.001417941,0.019460723,FALSE,FALSE
CLOCK,0.604819023,3.96E-06,0.001353523,FALSE,FALSE
CMAS,-0.383899649,0.003636901,0.031254077,FALSE,FALSE
CMYA1,-0.411393587,0.001808208,0.022242186,FALSE,FALSE
CNGB1,0.518166425,8.48E-05,0.005316132,FALSE,FALSE
